Selection and PL reported in the same study,Author(s) of Selection study,Publication year,Journal,volume.and.pp,Family,Species,Trait type,Trait name in study,N.Diff.linear.value,Diff.linear.value,N.Grad.linear,Grad.linear.value,Author(s) of pollen limitation study,Publication year,Journal,volume.and.pp,Best PL,Statistically significant PL
Yes,"Alexandersson, Johnson",2002,Proceedings of the Royal Society B: Biological Sciences,269:631-636,Iridaceae,Gladiolus longicollis,floral size,tube length,204,0.447,204,0.357,"Alexandersson, Johnson",2002,Proceedings of the Royal Society B: Biological Sciences,269:631-636,0.33,yes
Yes,"Alexandersson, Johnson",2002,Proceedings of the Royal Society B: Biological Sciences,269:631-636,Iridaceae,Gladiolus longicollis,plant size,inflorescence height,204,0.393,204,0.275,"Alexandersson, Johnson",2002,Proceedings of the Royal Society B: Biological Sciences,269:631-636,0.33,yes
Yes,"Anderson, Alexandersson, Johnson",2009,Evolution,64:960-972,Iridaceae,Gladiolus longicollis,floral size,tube length,143,0.43,143,0.4,"Anderson, Alexandersson, Johnson",2009,Evolution,64:960-972,0.239297087,yes
Yes,"Anderson, Alexandersson, Johnson",2009,Evolution,64:960-972,Iridaceae,Gladiolus longicollis,plant size,inflorescence height,143,0.07,143,-0.02,"Anderson, Alexandersson, Johnson",2009,Evolution,64:960-972,0.239297087,yes
Yes,"Ashman, Diefenderfer",2001,American Naturalist,157:334-347,Rosaceae,Fragaria virginiana,floral size,petal size,85,-0.03,NA,NA,"Ashman, Diefenderfer",2001,American Naturalist,157:334-347,-0.072463768,no
Yes,"Ashman, Diefenderfer",2001,American Naturalist,157:334-347,Rosaceae,Fragaria virginiana,floral size,petal size,85,0.11,NA,NA,"Ashman, Diefenderfer",2001,American Naturalist,157:334-347,0.15942029,yes
Yes,"Bartkowska, Johnston",2012,New Phytologist,193:1039-1048,Campanulaceae,Lobelia cardinalis,floral size,flower size,439,0.26,422,-0.018,"Bartkowska, Johnston",2012,New Phytologist,193:1039-1048,0.41920936,yes
Yes,"Bartkowska, Johnston",2012,New Phytologist,193:1039-1048,Campanulaceae,Lobelia cardinalis,plant size,stem diameter,439,0.95,422,0.22,"Bartkowska, Johnston",2012,New Phytologist,193:1039-1048,0.41920936,yes
Yes,"Bartkowska, Johnston",2012,New Phytologist,193:1039-1048,Campanulaceae,Lobelia cardinalis,flower number,flower number,439,1.04,422,0.74,"Bartkowska, Johnston",2012,New Phytologist,193:1039-1048,0.41920936,yes
Yes,"Bartkowska, Johnston",2012,New Phytologist,193:1039-1048,Campanulaceae,Lobelia cardinalis,phenology,median-flower date,439,-0.65,422,-0.43,"Bartkowska, Johnston",2012,New Phytologist,193:1039-1048,0.41920936,yes
Yes,Campbell,1991,American Naturalist,137:713-737,Polemoniaceae,Ipomopsis aggregata,phenology,flowering date,77,0.15,NA,NA,Campbell,1991,American Naturalist,137:713-737,0.666666667,yes
Yes,Campbell,1991,American Naturalist,137:713-738,Polemoniaceae,Ipomopsis aggregata,floral size,corolla length,77,0.44,NA,NA,Campbell,1991,American Naturalist,137:713-738,0.666666667,yes
Yes,"Cariveau, Irwin, Brody, Garcia-Mayeya, von der Ohe",2004,Oikos,104:15-26,Scrophulariaceae,Castilleja linariaefolia,floral size,calyx length,NA,NA,60,0.12,"Cariveau, Irwin, Brody, Garcia-Mayeya, von der Ohe",2004,Oikos,104:15-26,0.13909224,yes
Yes,"Cariveau, Irwin, Brody, Garcia-Mayeya, von der Ohe",2004,Oikos,104:15-26,Scrophulariaceae,Castilleja linariaefolia,plant size,plant height,NA,NA,60,-0.3,"Cariveau, Irwin, Brody, Garcia-Mayeya, von der Ohe",2004,Oikos,104:15-26,0.13909224,yes
Yes,"Cariveau, Irwin, Brody, Garcia-Mayeya, von der Ohe",2004,Oikos,104:15-26,Scrophulariaceae,Castilleja linariaefolia,flower number,flower number,NA,NA,60,0.76,"Cariveau, Irwin, Brody, Garcia-Mayeya, von der Ohe",2004,Oikos,104:15-26,0.13909224,yes
Yes,"Caruso, Scott, Wray, Walsh",2010,International Journal of Plant Sciences,171:1020-1028,Campanulaceae,Lobelia siphilitica,floral size,brightness,NA,NA,89,-0.05,"Caruso, Scott, Wray, Walsh",2010,International Journal of Plant Sciences,171:1020-1028,0.050490196,no
Yes,"Caruso, Yakabowski",2008,Journal of Evolutionary Biology,21:1514-1523,Campanulaceae,Lobelia siphilitica,plant size,flower number,NA,NA,81,0.223,"Caruso, Yakabowski",2008,Journal of Evolutionary Biology,21:1514-1523,0.296850914,yes
Yes,"Caruso, Yakabowski",2008,Journal of Evolutionary Biology,21:1514-1523,Campanulaceae,Lobelia siphilitica,floral size,flower size,NA,NA,81,-0.058,"Caruso, Yakabowski",2008,Journal of Evolutionary Biology,21:1514-1523,0.296850914,yes
Yes,"Caruso, Yakabowski",2008,Journal of Evolutionary Biology,21:1514-1523,Campanulaceae,Lobelia siphilitica,vegetative tissue area,leaf area,NA,NA,81,0.003,"Caruso, Yakabowski",2008,Journal of Evolutionary Biology,21:1514-1523,0.296850914,yes
Yes,"Carvallo, Medel",2010,Evolutionary Ecology,24:509-522,Scrophulariaceae,Mimulus luteus,floral size,corolla tube length,100,0.127,93,0.128,"Carvallo, Medel",2009,Evolutionary Ecology,24:509-522,0.984644478,yes
No,"Dominguez, Dirzo",1995,Evolutionary Ecology,9:204-216,Erythroxylaceae,Erythroxylum havanense,phenology,day of first flower,60,0.333,NA,NA,"Dominguez, Avila-Sakar, Vazquez-Santana, Marques-Guzman",1997,American Journal of Botany,84:626-632,0.325490196,yes
Yes,"Fishman, Willis",2008,New Phytologist,177:802-810,Phrymaceae,Mimulus guttatus,floral size,Corolla tube length,82,0.612,82,0.634,"Fishman, Willis",2008,New Phytologist,177:802-810,0.271280124,yes
Yes,"Forrest, Thomson",2010,American Journal of Botany,97:38-48,Boraginaceae,Mertensia fusiformis,phenology,flowering date,76,-0.25,76,0.13,"Forrest, Thomson",2010,American Journal of Botany,97:38-48,0.423076923,no
Yes,"Forrest, Thomson",2010,American Journal of Botany,97:38-48,Boraginaceae,Mertensia fusiformis,flower number,flower number,76,0.71,76,0.78,"Forrest, Thomson",2010,American Journal of Botany,97:38-48,0.423076923,no
Yes,"Forrest, Thomson",2010,American Journal of Botany,97:38-48,Boraginaceae,Mertensia fusiformis,phenology,flowering date,85,-0.042,85,0.078,"Forrest, Thomson",2010,American Journal of Botany,97:38-48,0.105726872,no
Yes,"Forrest, Thomson",2010,American Journal of Botany,97:38-48,Boraginaceae,Mertensia fusiformis,flower number,flower number,85,0.99,85,1.02,"Forrest, Thomson",2010,American Journal of Botany,97:38-48,0.105726872,no
Yes,"Forrest, Thomson",2010,American Journal of Botany,97:38-48,Boraginaceae,Mertensia fusiformis,phenology,flowering date,81,-0.51,81,-0.19,"Forrest, Thomson",2010,American Journal of Botany,97:38-48,0.21529745,no
Yes,"Forrest, Thomson",2010,American Journal of Botany,97:38-48,Boraginaceae,Mertensia fusiformis,flower number,flower number,81,0.848,81,0.775,"Forrest, Thomson",2010,American Journal of Botany,97:38-48,0.21529745,no
Yes,Galen,1996,Evolution,50:120-125,Polemoniaceae,Polemonium viscosum,floral size,corolla flare,94,1.8,NA,NA,Galen,1996,Evolution,50:120-125,0.005578801,no
No,"Hai-Qin Sun, Jin Cheng, Fu-Min Zhang, Yi-Bo Luo, Song Ge",2009,Annals of Botany,103:1227-1237,Orchidaceae,Cypripedium japonicum,phenology,opening date,346,-0.479,346,-0.844,"Hai-Qin Sun, Jin Cheng, Fu-Min Zhang, Yi-Bo Luo, Song Ge",2009,Annals of Botany,103:1227-1237,0.850605653,yes
Yes,"Hansen, Totland",2006,Canadian Journal of Botany,84:412-420,Campanulaceae,Campanula persicifolia,vegetative tissue area,leaf number,NA,NA,34,-0.2,"Hansen, Totland",2006,Canadian Journal of Botany,84:412-420,0.505631068,yes
Yes,"Hansen, Totland",2006,Canadian Journal of Botany,84:412-420,Campanulaceae,Campanula persicifolia,plant size,plant height,NA,NA,34,-0.4,"Hansen, Totland",2006,Canadian Journal of Botany,84:412-420,0.505631068,yes
Yes,"Hansen, Totland",2006,Canadian Journal of Botany,84:412-420,Campanulaceae,Campanula persicifolia,flower number,flower number,NA,NA,34,0.2,"Hansen, Totland",2006,Canadian Journal of Botany,84:412-420,0.505631068,yes
Yes,"Hansen, Totland",2006,Canadian Journal of Botany,84:412-420,Campanulaceae,Campanula persicifolia,floral size,flower size,NA,NA,34,0.4,"Hansen, Totland",2006,Canadian Journal of Botany,84:412-420,0.505631068,yes
Yes,"Hansen, Totland",2006,Canadian Journal of Botany,84:412-420,Campanulaceae,Campanula persicifolia,vegetative tissue area,leaf number,NA,NA,43,-0.2,"Hansen, Totland",2006,Canadian Journal of Botany,84:412-420,0.415564904,yes
Yes,"Hansen, Totland",2006,Canadian Journal of Botany,84:412-420,Campanulaceae,Campanula persicifolia,plant size,plant height,NA,NA,43,0.1,"Hansen, Totland",2006,Canadian Journal of Botany,84:412-420,0.415564904,yes
Yes,"Hansen, Totland",2006,Canadian Journal of Botany,84:412-420,Campanulaceae,Campanula persicifolia,flower number,flower number,NA,NA,43,0.8,"Hansen, Totland",2006,Canadian Journal of Botany,84:412-420,0.415564904,yes
Yes,"Hansen, Totland",2006,Canadian Journal of Botany,84:412-420,Campanulaceae,Campanula persicifolia,floral size,flower size,NA,NA,43,0.2,"Hansen, Totland",2006,Canadian Journal of Botany,84:412-420,0.415564904,yes
No,Johnston,1991,Evolution,45:1468-1479,Campanulaceae,Lobelia cardinalis,flower number,Flower number,133,1.35,133,1.35,Johnston,1991,Ecology,72:1500-1503,0.664937311,yes
No,Johnston,1991,Evolution,45:1468-1479,Campanulaceae,Lobelia cardinalis,plant size,plant height,133,0.97,133,0.11,Johnston,1991,Ecology,72:1500-1503,0.664937311,yes
No,Johnston,1991,Evolution,45:1468-1479,Campanulaceae,Lobelia cardinalis,phenology,median-flower date,133,-0.33,133,0.19,Johnston,1991,Ecology,72:1500-1503,0.664937311,yes
No,Johnston,1991,Evolution,45:1468-1479,Campanulaceae,Lobelia cardinalis,flower number,Flower number,117,1.3,117,1.25,Johnston,1991,Ecology,72:1500-1503,0.538374291,yes
